"COMID","totco2g_day","pred_total","totco2g_day_fill","pred_logw_m","stream_length_m","pred_stream_area_m2_fill"
"23752224",582658.202810959,602335.75,582658.202810959,1.00607995356527,149,1510.97814737705
"23752226",NA,491168.25,491168.25,1.00269781676774,1081,10877.360211007
"23752228",741839.906038356,817685.3125,741839.906038356,0.993459558104205,802,7899.98495789094
"23752230",763333.259564384,766101.6875,763333.259564384,0.984924063000112,2437,23538.2720514827
"23752232",912589.875369863,848519.875,912589.875369863,0.972306311327274,1151,10799.0616370257
"23752234",34603.7137315068,50001.99609375,34603.7137315068,0.95276671132944,367,3291.84322739697
"23752236",718617.189863014,689912.1875,718617.189863014,0.941027057740673,1439,12562.8649071874
"23752238",NA,385862.28125,385862.28125,0.932663473668611,438,3750.93501391589
"23752240",747374.505484932,794807.4375,747374.505484932,0.927587735370082,1438,12171.4958449702
"23752242",721679.958410959,766166.1875,721679.958410959,0.896454393327028,1795,14142.5013735867
"23752244",583398.211709589,585175.25,583398.211709589,0.861116770411106,552,4009.06199947623
"23752246",212940.500547945,189854.75,212940.500547945,0.56156142681782,4571,16653.9192105785
"23752248",62657.9584520548,65960.015625,62657.9584520548,0.352642069043592,3736,8414.63336262993
"23752250",567563.724657534,481337.71875,567563.724657534,0.744645111465325,577,3204.95848589256
"23752252",373897.110328767,344289.6875,373897.110328767,0.730253559689398,1303,7001.50904787762
"23752254",319806.916117808,313734.375,319806.916117808,0.715962651927826,1187,6171.5985746523
"23752256",286251.832249315,270336.3125,286251.832249315,0.695994748763887,722,3585.52495996977
"23752258",259081.037589041,252851.546875,259081.037589041,0.679043721677477,786,3753.83202047383
"23752260",182352.004635616,210129.046875,182352.004635616,0.580781616968749,1267,4825.68805690265
"23752262",84627.7780520548,102634.734375,84627.7780520548,0.382961875231644,579,1398.52203543596
"23752264",71426.9525753425,71417.7578125,71426.9525753425,0.268578539285204,2445,4537.51121164718
"23752266",NA,1691603.375,1691603.375,1.16687523532133,47,690.197785143677
"23752268",3085744.63808219,3229767.25,3085744.63808219,1.16687523532133,8399,123339.613324831
"23752270",1798166.33200274,1824442.75,1798166.33200274,1.15216803104046,403,5721.0006314628
"23752272",2777164.98172603,2659279.5,2777164.98172603,1.1483257942017,736,10356.2657330428
"23752274",2337926.79468493,2326804.5,2337926.79468493,1.14276820603695,692,9613.28047371251
"23752276",1692316.32361644,1872407.25,1692316.32361644,1.14049452390114,552,7628.46558162999
"23752278",2901133.1620274,2697247.75,2901133.1620274,1.1346060867754,520,7089.40357475755
"23752280",2679297.01627397,2465725.25,2679297.01627397,1.13247612986793,1114,15113.243990128
"23752282",2002546.40293151,2135886.25,2002546.40293151,1.12930788326139,578,7784.65057495889
"23752284",425538.888978082,499327.9375,425538.888978082,1.12124206186018,94,1242.70271936075
"23752286",1812011.37361644,1862530.5,1812011.37361644,1.1179034033739,710,9314.48303761774
"23752288",2266149.63246575,2063194.625,2266149.63246575,1.11557213832971,878,11456.9623411297
"23752290",1525657.36144932,1599070.375,1525657.36144932,1.10910611511142,788,10130.6346016151
"23752292",2073821.80347945,2002734.5,2073821.80347945,1.10663214565508,517,6608.82902053849
"23752294",6775.73838805479,68118.234375,6775.73838805479,1.10348353937501,323,4099.10503520549
"23752296",2033293.53115068,2058959,2033293.53115068,1.10211039206374,647,8184.95953564871
"23752298",2465897.74430137,2348557,2465897.74430137,1.0933280749512,1027,12731.926020802
"23752300",1887397.77872877,1869252.625,1887397.77872877,1.08934425956659,544,6682.50721239528
"23752302",2007682.66117808,1901891.25,2007682.66117808,1.05754576396303,430,4909.25798863201
"23752304",1509272.85574521,1553715.75,1509272.85574521,1.05446712488667,739,8377.41013013345
"23752306",1987503.89942466,1930688,1987503.89942466,1.04967233607942,665,7455.79092204742
"23752308",2026427.2229589,1883478.5,2026427.2229589,1.04561165576069,641,7119.75492468854
"23752310",NA,1562719.75,1562719.75,1.04344019636599,568,6277.56486824216
"23752312",1984290.28273973,1838492.875,1984290.28273973,1.00250577674157,2689,27045.088921027
"23752314",1219921.94523288,1352557.625,1219921.94523288,0.996651830241113,491,4872.28294759282
"23752316",2251978.43342466,2096345.625,2251978.43342466,0.994141448155595,6218,61347.1171028268
"23752318",1610148.26054795,1574709.875,1610148.26054795,0.922055549010229,3364,28112.883318359
"23752320",1113150.2489589,1120584.625,1113150.2489589,0.885369326561493,1696,13025.2666326484
"23752322",558848.445443836,599547.1875,558848.445443836,0.836610853318781,511,3507.72710931191
"23752324",863388.504657534,867503.6875,863388.504657534,0.794606388472187,3148,19616.7204809204
"23752326",67317.7137863014,81002.796875,67317.7137863014,0.730253559689398,1685,9054.13871502209
"23752328",336433.603339726,307397.625,336433.603339726,0.625280192647127,542,2287.23695055671
"23752330",322039.118630137,267808.09375,322039.118630137,0.473882031569958,2903,8645.66843998328
"23752332",207125.678794521,213248.546875,207125.678794521,0.619368342521127,2068,8607.87150766235
"23752334",207794.314438356,204209,207794.314438356,0.594062149731929,2332,9158.17322090489
"23752336",254110.610794521,208048.828125,254110.610794521,0.513014868731419,4179,13616.5838838173
"23752338",294505.2174,466982.875,294505.2174,1.19550593242194,46,721.541681318753
"23752340",2469141.59506849,2506777.25,2469141.59506849,1.19550593242194,453,7105.60685747819
"23752342",5777887.13013699,5284320.5,5777887.13013699,1.19456799667096,912,14274.4884797986
"23752344",3391965.15468493,3249489.75,3391965.15468493,1.18541710875823,1509,23126.3639234928
"23752346",3350467.82268493,3201512.25,3350467.82268493,1.18489862570308,2691,41192.2276789187
"23752348",3158325.68260274,3127489,3158325.68260274,1.18123594033179,1121,17015.3646170812
"23752350",3158013.00460274,3036609,3158013.00460274,1.17905716521544,541,8170.53947045158
"23752352",3286131.44720548,3041351.5,3286131.44720548,1.17529890030042,810,12127.7478779501
"23752354",NA,440814.3125,440814.3125,1.17367667920621,149,2222.6165187052
"23752356",2662610.22345205,2660004.75,2662610.22345205,1.17163066963357,2158,32039.1427587231
"23752358",NA,1335732.875,1335732.875,1.16612513755483,252,3694.27082863742
"23752360",1984819.78473699,2074257.25,1984819.78473699,1.16527046965108,899,13153.128457484
"23752362",2571465.97463014,2413438.75,2571465.97463014,1.16184340688418,1344,19509.2011185823
"23752364",1217406.48567123,1630799.125,1217406.48567123,1.15311444191748,389,5534.36360243349
"23752366",2527957.52186301,2382762,2527957.52186301,1.15142643332475,1068,15135.5172964626
"23752368",2506447.78257534,2359245.5,2506447.78257534,1.14458992862921,1113,15526.8044412399
"23752370",2368696.48808219,2276869,2368696.48808219,1.12057439871319,1484,19588.8857130278
"23752372",605781.24429863,744610.1875,605781.24429863,1.11717743357481,161,2108.6437483899
"23752374",2098096.34843836,2260275,2098096.34843836,1.1158355955932,815,10641.2684496686
"23752376",1461670.38695342,1654319.125,1461670.38695342,1.10858326125573,645,8282.15738711609
"23752378",1541083.35756164,1552577.5,1541083.35756164,1.10377157502321,527,6692.43471818519
"23752380",1922819.61082192,1660232,1922819.61082192,1.09855161474355,349,4378.97235447709
"23752382",1610753.66021918,1631892.75,1610753.66021918,1.09647013087078,602,7517.42797266837
"23752384",2083188.37438356,1984587.25,2083188.37438356,1.08969439824223,790,9712.27926496421
"23752386",1649322.73619178,1730865.375,1649322.73619178,1.06810793872949,541,6328.58015841822
"23752388",942805.342191781,989389.3125,942805.342191781,0.895791466694119,4132,32504.2795336758
"23752390",834181.142465753,795922.3125,834181.142465753,0.844989735377315,4686,32794.5432007555
"23752392",176289.384230137,189897.828125,176289.384230137,0.81311563300139,29,188.593546663617
"23752394",155903.386923288,268872.59375,155903.386923288,0.806193244997369,183,1171.26941782693
"23752396",716659.833863014,663467.125,716659.833863014,0.798312764174195,1635,10276.1890568815
"23752398",456393.768328767,502345.1875,456393.768328767,0.777569948746675,367,2199.10881477337
"23752400",649499.323726027,591098.8125,649499.323726027,0.771670076513469,4532,26788.4553510905
