"","comid","urbn","frst","wtnd","agrc","shrb","urbn_t","frst_t","wtnd_t","agrc_t","shrb_t"
"2331",23763993,12.43,11.86,0,0,56.82,12.43,11.86,0,0,56.82
"2332",23763995,4.56,54.82,0,0.41,37.93,4.56,54.82,0,0.41,37.93
"2333",23763997,2.15,55.14,1.76,0,13.9,2.15,55.14,1.76,0,13.9
"2334",23763999,9.3,29.46,0,0,45.71,9.3,29.46,0,0,45.71
"2335",23764001,9.81,14.92,0,0,61.25,10.36,14.28,0,0,60.33
"2336",23764003,8.59,50.76,0.33,0,34.32,8.59,50.76,0.33,0,34.32
"2337",23764005,10.34,22.27,0,0,59.36,8.16,35.58,0,0,45.55
"2338",23764007,21.34,59.29,0,6.93,6.68,21.34,59.29,0,6.93,6.68
"2339",23764009,9.18,39.45,0,16.53,10.83,9.18,39.45,0,16.53,10.83
"2340",23764011,10.72,38.98,5.84,0,41.13,6.62,43.89,1.01,0.73,40.03
"2341",23764013,0.95,61.34,0.59,1.77,24.89,0.65,71.24,0.4,1.2,19.04
"2342",23764015,10.92,29.02,0,43.53,2.81,10.92,29.02,0,43.53,2.81
"2343",23764017,6.71,54.56,4.88,0.81,21.78,6.71,54.56,4.88,0.81,21.78
"2344",23764019,2.79,52.24,6.33,0,25.1,2.79,52.24,6.33,0,25.1
"2345",23764021,6.89,33.95,1.31,29.83,12.63,6.89,33.95,1.31,29.83,12.63
"2346",23764023,0,0,66.67,33.33,0,3.11,31.4,1.65,40.35,11.11
"2347",23764025,4.27,38.61,0.77,29.18,6.23,4.27,38.61,0.77,29.18,6.23
"2348",23764027,4.74,56.48,3.31,0,34.67,10.37,35.89,1.61,0,50.82
"2349",23764029,14.95,19.1,0.22,0,63.99,14.95,19.1,0.22,0,63.99
"2350",23764031,24.4,5.86,1.04,55.21,2.86,18.28,19.37,0.62,39.66,6.06
"2351",23764033,0,16.58,1.1,50.71,5.38,0,16.58,1.1,50.71,5.38
"2352",23764035,2.94,70.59,0,0,26.47,10.96,51.47,0,0,34.15
"2353",23764037,15.73,39.52,0,0,44.76,12.54,43.91,0,0,41.22
"2354",23764039,7.87,42.4,0.06,0,36.58,7.59,44.45,0.05,0,36.04
"2355",23764041,5.35,42.04,1.85,32.99,15.23,5.35,42.04,1.85,32.99,15.23
"2356",23764043,11.78,27.81,3.32,50.83,2.07,6.47,45.84,1.31,9.4,29.91
"2357",23764045,11.19,52.38,0,0,31.15,13.27,44.27,0,0,38.4
"2358",23764047,21.4,39.39,0.74,1.52,11.48,21.4,39.39,0.74,1.52,11.48
"2359",23764049,7.48,30.94,0.27,49.79,9.33,8.03,30.64,0.23,48.8,8.29
"2360",23764051,6.55,51.92,0,0,34.09,6.55,51.92,0,0,34.09
"2361",23764053,5.89,55.88,0,0,33.35,5.89,55.88,0,0,33.35
"2362",23764055,8.23,10.79,0,0,59.47,8.23,10.79,0,0,59.47
"2363",23764057,11.82,44.91,0,0,40.42,11.82,44.91,0,0,40.42
"2364",23764059,7.5,35.73,8.23,27.49,13.27,7.11,45.07,6.57,14.26,17.49
"2365",23764061,5.52,36.16,0,0,55.52,5.52,36.16,0,0,55.52
"2366",23764063,17.15,29.12,0,0,51.94,17.15,29.12,0,0,51.94
"2367",23764065,3.02,30.94,3.24,58.9,1.84,3.02,30.94,3.24,58.9,1.84
"2368",23764067,8.22,21.54,0.71,0,56.33,7.63,21.07,0.5,0,57.74
"2369",23764069,6.26,20,0,0,61,6.26,20,0,0,61
"2370",23764071,8.44,59.44,0,0,29.42,8.44,59.44,0,0,29.42
"2371",23764073,7.58,39.56,2.92,14.48,33.43,5.97,54.47,1.48,1.66,28.43
"2372",23764075,6.42,5.35,0,0,66.73,6.42,5.35,0,0,66.73
"2373",23764077,8.87,51.26,0,0,34.12,7.89,29.79,0,0,51.29
"2374",23764079,14.21,67.76,15.3,0,2.73,4.34,48.63,2.03,0,31.05
"2375",23764081,3.94,9.7,0,0,65.45,7.33,12.72,0,0,67.48
"2376",23764083,0,47.91,0,0,50.9,0,47.91,0,0,50.9
"2377",23764085,0.88,68.76,0,0,26.56,0.88,68.76,0,0,26.56
"2378",23764087,3.22,45.63,0.49,29.18,12.25,3.22,45.63,0.49,29.18,12.25
"2379",23764089,4.39,41.32,3.25,28.69,9.1,4.39,41.32,3.25,28.69,9.1
"2380",23764091,8.16,69.44,0.07,0,22.3,8.16,69.44,0.07,0,22.3
"2381",23764093,6.13,63.02,0.22,0,30.09,6.13,63.02,0.22,0,30.09
"2382",23764095,7.34,57.17,0.6,0,34.67,7.34,57.17,0.6,0,34.67
"2383",23764097,4.48,39.59,1.82,0,39.55,4.48,39.59,1.82,0,39.55
"2384",23764099,8.19,13.48,0,0,67.99,8.19,13.48,0,0,67.99
"2385",23764101,3.11,61.37,1.04,0,20.11,3.11,61.37,1.04,0,20.11
"2386",23764103,5.08,55.22,0.97,0,38.72,5.42,57.8,0.72,0,35.87
"2387",23764105,5.05,84.78,0,0,10.16,5.05,84.78,0,0,10.16
